date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:22	63107/63107	---M--	200	added ('OK')	image/png	etag:%22f683-6081b734-0;;;%22	https://webinar.smartenwave.com/wp-content/uploads/2021/04/2020-Range-Rover-Evoque-300x173-10.png	C:/yk/webinar.smartenwave.com/wp-content/uploads/2021/04/2020-Range-Rover-Evoque-300x173-10.png	(from https://webinar.smartenwave.com/mmc/)
17:46:22	1749/1749	---M--	200	added ('OK')	image/png	etag:%226d5-6081b734-0;;;%22	https://webinar.smartenwave.com/wp-content/uploads/2021/04/serene-video-shadow-9.png	C:/yk/webinar.smartenwave.com/wp-content/uploads/2021/04/serene-video-shadow-9.png	(from https://webinar.smartenwave.com/mmc/)
17:46:23	758/758	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Mar%202020%2017:26:38%20GMT	https://c0.wp.com/p/jetpack/9.6.1/_inc/build/photon/photon.min.js	C:/yk/c0.wp.com/p/jetpack/9.6.1/_inc/build/photon/photon.min.js	(from https://webinar.smartenwave.com/mmc/)
17:46:23	5629/5629	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2013%20Jun%202020%2018:53:27%20GMT	https://c0.wp.com/c/5.7.1/wp-includes/js/imagesloaded.min.js	C:/yk/c0.wp.com/c/5.7.1/wp-includes/js/imagesloaded.min.js	(from https://webinar.smartenwave.com/mmc/)
17:46:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20May%202021%2016:46:25%20GMT	https://webinar.smartenwave.com/mmc/Trident/	C:/yk/webinar.smartenwave.com/mmc/Trident/index.html	(from https://webinar.smartenwave.com/mmc/)
17:46:24	24138/24138	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2013%20Jun%202020%2018:53:27%20GMT	https://c0.wp.com/c/5.7.1/wp-includes/js/masonry.min.js	C:/yk/c0.wp.com/c/5.7.1/wp-includes/js/masonry.min.js	(from https://webinar.smartenwave.com/mmc/)
17:46:25	1819/1819	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202016%2018:55:30%20GMT	https://c0.wp.com/c/5.7.1/wp-includes/js/jquery/jquery.masonry.min.js	C:/yk/c0.wp.com/c/5.7.1/wp-includes/js/jquery/jquery.masonry.min.js	(from https://webinar.smartenwave.com/mmc/)
17:46:26	62971/62971	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f5fb-6080ec8a-0;gz%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.min.js?ver=2.0.52	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.minf2a0.js	(from https://webinar.smartenwave.com/mmc/)
17:46:27	1057/1057	---M-Z	200	added ('OK')	application/x-javascript	etag:%22421-5f9804c0-0;gz%22	https://webinar.smartenwave.com/wp-content/themes/twentytwentyone/assets/js/polyfills.js?ver=1.3	C:/yk/webinar.smartenwave.com/wp-content/themes/twentytwentyone/assets/js/polyfills4e44.js	(from https://webinar.smartenwave.com/mmc/)
17:46:29	1127/1127	---M-Z	200	added ('OK')	application/x-javascript	etag:%22467-5fdc056c-0;gz%22	https://webinar.smartenwave.com/wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.3	C:/yk/webinar.smartenwave.com/wp-content/themes/twentytwentyone/assets/js/responsive-embeds4e44.js	(from https://webinar.smartenwave.com/mmc/)
17:46:31	1832/1832	---M-Z	200	added ('OK')	application/x-javascript	etag:%22728-6080ec8a-0;gz%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.min.js?ver=2.0.62	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.min0605.js	(from https://webinar.smartenwave.com/mmc/)
17:46:32	1426/1426	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2006%20Jan%202021%2015:29:24%20GMT	https://c0.wp.com/c/5.7.1/wp-includes/js/wp-embed.min.js	C:/yk/c0.wp.com/c/5.7.1/wp-includes/js/wp-embed.min.js	(from https://webinar.smartenwave.com/mmc/)
17:46:33	8972/8972	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6340e3-350a%22	https://stats.wp.com/e-202118.js	C:/yk/stats.wp.com/e-202118.js	(from https://webinar.smartenwave.com/mmc/)
17:46:34	6204/6204	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22183c-6080ec89-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoon.eot?jtzdu4	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoonf2e9.eot	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:36	6204/6204	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22183c-6080ec89-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoon.eot?	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoond41d.eot	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:37	6040/6040	---M--	200	added ('OK')	application/x-font-ttf	etag:%221798-6080ec89-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoon.ttf?jtzdu4	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoonf2e9.ttf	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:38	6116/6116	---M--	200	added ('OK')	application/font-woff	etag:%2217e4-6080ec89-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoon.woff?jtzdu4	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoonf2e9.woff	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:40	17639/17639	---M-Z	200	added ('OK')	image/svg+xml	etag:%2244e7-6080ec89-0;gz%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoon.svg?jtzdu4	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoonf2e9.svg	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:41	143/143	---M--	200	added ('OK')	image/png	etag:%228f-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/toggle_closed_hover.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/toggle_closed_hover.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:43	139/139	---M--	200	added ('OK')	image/png	etag:%228b-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/toggle_open.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/toggle_open.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:44	143/143	---M--	200	added ('OK')	image/png	etag:%228f-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/toggle_closed.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/toggle_closed.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:46	1254/1254	---M--	200	added ('OK')	image/png	etag:%224e6-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_amex.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_amex.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:47	603/603	---M--	200	added ('OK')	image/png	etag:%2225b-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_discover.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_discover.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:49	981/981	---M--	200	added ('OK')	image/png	etag:%223d5-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_mc.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_mc.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:50	964/964	---M--	200	added ('OK')	image/png	etag:%223c4-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_paypal.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_paypal.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:52	375/375	---M--	200	added ('OK')	image/png	etag:%22177-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_visa.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/cc_visa.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:56	84/84	---M--	200	added ('OK')	image/png	etag:%2254-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/flat_vSep.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/flat_vSep.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:57	81572/81572	---M--	200	added ('OK')	image/gif	etag:%2213ea4-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/loader_transparent.gif	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/loader_transparent.gif	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:57	2518/2518	---M--	200	added ('OK')	image/png	etag:%229d6-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/stars.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/stars.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:46:59	4621/4621	---M--	200	added ('OK')	image/png	etag:%22120d-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/video_frame_3.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/video_frame_3.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:47:00	2531/2531	---M--	200	added ('OK')	image/png	etag:%229e3-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/video_frame_4.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/video_frame_4.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:47:02	2657/2657	---M--	200	added ('OK')	image/png	etag:%22a61-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/video_frame_6.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/video_frame_6.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
17:47:03	4679/4679	---M--	200	added ('OK')	image/png	etag:%221247-6080ec8a-0;;;%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/rv_style_grey_monitor_full.png	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/images/rv_style_grey_monitor_full.png	(from https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52)
